Geneid	wt_R1	wt_R2	mu_R1	mu_R2
FGRRES_13904_M	4	3	3	3
FGRRES_17506	1655	1468	669	591
FGRRES_10852	1	2	6	7
FGRRES_10853	164	136	78	80
FGRRES_10854	4127	3735	5515	4572
FGRRES_10855	10582	10306	33368	30318
FGRRES_10856	1165	1316	865	718
FGRRES_17505	15545	13835	9869	7967
FGRRES_10858	916	912	699	629
FGRRES_10859	443	430	261	267
FGRRES_10860	423	400	200	162
FGRRES_10861	1420	1334	898	677
FGRRES_10862	831	713	464	477
FGRRES_10863	117	133	120	94
FGRRES_10864	678	701	789	728
FGRRES_10865	788	796	468	400
FGRRES_10866	1839	1801	1314	1193
FGRRES_10867	209	237	149	93
FGRRES_10868	7205	7496	9117	9301
FGRRES_20300	3	2	1	0
FGRRES_13902	160	167	67	68
FGRRES_13901	6	14	21	8
FGRRES_10869	365	370	170	158
FGRRES_10870	258	241	103	109
FGRRES_10871	2561	2394	1558	1397
FGRRES_10872	159	130	101	58
FGRRES_10873	3998	3977	3422	3118
FGRRES_15628	30	22	28	25
FGRRES_10874	1513	1363	1181	1016
FGRRES_10875	593	484	430	334
FGRRES_10876	649	521	501	412
FGRRES_15629	6	2	0	0
FGRRES_13900	1	1	0	3
FGRRES_10877	2	6	3	2
FGRRES_17504	111	95	95	67
FGRRES_10879	449	395	253	194
FGRRES_10880	480	432	457	441
FGRRES_10881_M	5847	5040	4238	3314
FGRRES_10882	613	548	430	353
FGRRES_10883	177	170	159	170
FGRRES_10884	40	55	382	393
FGRRES_20301	27	24	13	31
FGRRES_10885	2613	2674	1388	1376
FGRRES_17503	98	78	66	26
FGRRES_10887	2580	2602	2841	2625
FGRRES_10888	3589	3460	4124	3847
FGRRES_10889	1121	1040	771	660
FGRRES_13899	7	8	18	12
FGRRES_20302	1	3	0	1
FGRRES_13898	0	0	0	0
FGRRES_10890	801	797	342	358
FGRRES_17502_M	288	344	209	217
FGRRES_13896_M	38	33	23	21
FGRRES_13895	0	0	0	0
FGRRES_10891_M	194	164	103	107
FGRRES_13894	21	14	6	3
FGRRES_10892	2288	2009	1420	1202
FGRRES_10893_M	592	577	273	246
FGRRES_10894	2531	2467	1426	1357
FGRRES_10895	225	168	225	192
FGRRES_10896	316	301	71	62
FGRRES_10897	834	825	1079	1137
FGRRES_10898	21	22	12	10
FGRRES_10899	1693	1507	2260	2124
FGRRES_10900	136	144	67	52
FGRRES_10901	121	100	61	47
FGRRES_10902_M	94	96	65	35
FGRRES_10903	951	908	462	362
FGRRES_10904	2444	2313	2759	2857
FGRRES_10905	4421	4958	1727	1525
FGRRES_10906	688	618	356	339
FGRRES_10907	1708	1578	954	798
FGRRES_10908	3319	3789	902	901
FGRRES_10909	3962	3443	2861	2287
FGRRES_10910	329	314	195	157
FGRRES_10911_M	789	698	416	351
FGRRES_10912	24	18	23	14
FGRRES_20303	11	2	4	1
FGRRES_13893	6	4	0	3
FGRRES_20304	400	439	330	324
FGRRES_10913	388	301	206	153
FGRRES_10914	142	126	58	62
FGRRES_10915	1527	1545	1117	939
FGRRES_17501	47	29	40	39
FGRRES_10917	2071	1815	1151	1056
FGRRES_10918	270	339	104	104
FGRRES_10919	22	19	28	23
FGRRES_20305	0	0	0	0
FGRRES_10920	3212	3157	1838	1754
FGRRES_10921	11	5	8	9
FGRRES_10922	3	3	12	13
FGRRES_20306	121	81	99	97
FGRRES_10923	18	15	2	1
FGRRES_13892	154	131	64	62
FGRRES_17500	253	278	86	102
FGRRES_10925	693	803	308	303
FGRRES_10926	884	822	331	294
FGRRES_10927	1153	983	862	807
FGRRES_17499	19700	19318	28371	28289
FGRRES_17498	653	636	242	254
FGRRES_10930	37	29	26	21
FGRRES_13888	408	314	323	232
FGRRES_17497	52	52	30	28
FGRRES_17496_M	1533	1257	1123	878
FGRRES_10933	312	333	130	135
FGRRES_10934	574	590	448	449
FGRRES_10935	566	459	174	178
FGRRES_17495	9	6	0	1
FGRRES_10937	116	119	135	92
FGRRES_10938	638	497	376	349
FGRRES_10939	6449	6053	4124	3354
FGRRES_10940	3725	4169	1103	908
FGRRES_13885	9	3	1	6
FGRRES_10941	6770	7299	3243	2921
FGRRES_10942	5423	4950	2816	2355
FGRRES_17494	5351	4932	17628	16179
FGRRES_10944	1279	1062	674	524
FGRRES_10945	272	259	142	136
FGRRES_17493	267	232	210	185
FGRRES_10947	513	556	367	296
FGRRES_10948	52	36	46	39
FGRRES_10949	677	796	328	290
FGRRES_13884_M	95	93	53	54
FGRRES_10950	201	228	113	125
FGRRES_17492	139	122	68	61
FGRRES_10952	199	142	107	64
FGRRES_10953	482	507	597	411
FGRRES_13883	433	405	179	142
FGRRES_13882	157	146	123	118
FGRRES_10955	14	12	5	10
FGRRES_17491	23	12	12	5
FGRRES_10957	39	30	27	14
FGRRES_10598_M	12	5	11	8
FGRRES_10959	2711	2394	2013	1553
FGRRES_10960	2200	2281	1007	931
FGRRES_10961	746	732	298	239
FGRRES_10962	585	566	542	556
FGRRES_10963	207	203	121	90
FGRRES_17490	618	621	438	374
FGRRES_10965	460	408	288	186
FGRRES_10966	1176	1070	747	638
FGRRES_10967	661	630	368	339
FGRRES_10968	213	204	79	95
FGRRES_10969	14055	12215	37675	27738
FGRRES_10970	2096	1705	1347	1203
FGRRES_10971	221	212	217	166
FGRRES_10972	32	37	14	10
FGRRES_10973	16	11	3	4
FGRRES_10974	264	261	217	209
FGRRES_10975	305	292	260	231
FGRRES_10976	123	117	80	104
FGRRES_10977_M	510	474	267	292
FGRRES_10978	93	109	64	44
FGRRES_10979	455	341	335	260
FGRRES_10980_M	132	98	46	43
FGRRES_13881	86	103	47	47
FGRRES_13880	28	31	26	20
FGRRES_10982	278	272	92	77
FGRRES_17488	91	65	55	63
FGRRES_10984	18	6	4	2
FGRRES_10985	5	5	16	15
FGRRES_10986	0	0	6	2
FGRRES_10987	2	3	1	1
FGRRES_13879	1	0	2	0
FGRRES_17487	526	346	1042	660
FGRRES_10989	9	7	5	9
FGRRES_10990	0	1	1	0
FGRRES_10991	0	0	0	0
FGRRES_10992	8	3	2	1
FGRRES_10993	36	36	52	48
FGRRES_10994	45	30	29	19
FGRRES_10995	240	202	109	128
FGRRES_10996	80	55	11	15
FGRRES_10997	33	26	15	22
FGRRES_10998	664	708	502	534
FGRRES_10999	0	0	2	0
FGRRES_11000_M	4	1	7	1
FGRRES_11001	13	7	4	1
FGRRES_17486	0	0	0	0
FGRRES_11003	16	13	7	10
FGRRES_17485	33	43	98	82
FGRRES_17484	526	425	469	467
FGRRES_11005	164	136	530	524
FGRRES_11006	5	4	2	5
FGRRES_13877_M	0	0	0	0
FGRRES_13876	3	6	1	1
FGRRES_15630	0	1	0	0
FGRRES_11008	13	11	13	10
FGRRES_11009	4	4	2	0
FGRRES_13875	51	32	7	8
FGRRES_13874	2	6	1	0
FGRRES_11011	6	6	10	2
FGRRES_11012	80	69	62	42
FGRRES_20307	18	13	13	9
FGRRES_11013_M	21	29	13	17
FGRRES_11014_M	9	8	5	9
FGRRES_11015	23	21	12	11
FGRRES_15631	0	0	0	0
FGRRES_11016	361	251	41	29
FGRRES_11017	19	21	11	4
FGRRES_11018	62	35	25	16
FGRRES_13873_M	739	613	540	486
FGRRES_11019	805	653	399	309
FGRRES_13872	0	0	1	0
FGRRES_13871	6202	5656	5879	5396
FGRRES_13870	519	469	220	193
FGRRES_13869	9517	8317	3820	3042
FGRRES_17483	1117	896	262	248
FGRRES_11022	24	26	37	15
FGRRES_11023	19	25	10	24
FGRRES_11024	108	102	70	45
FGRRES_13868	22	20	63	73
FGRRES_11025	26	21	37	18
FGRRES_11026	62	42	119	82
FGRRES_11027	16	12	71	48
FGRRES_11028	80	79	57	37
FGRRES_11029	369	346	210	200
FGRRES_11030	10	21	13	7
FGRRES_13867	0	0	0	0
FGRRES_11031	4	4	5	2
FGRRES_13866	14	15	8	9
FGRRES_11032	50	52	49	52
FGRRES_11033	3	5	4	9
FGRRES_20308	0	1	0	0
FGRRES_13865	50	33	458	437
FGRRES_13864_M	5	4	0	3
FGRRES_11035_M	2	1	0	0
FGRRES_11036	0	0	6	3
FGRRES_20309	1	0	0	0
FGRRES_11037	0	0	0	0
FGRRES_11038	7	9	4	13
FGRRES_11039	5	2	0	3
FGRRES_11040	6	3	5	1
FGRRES_13863	0	0	0	0
FGRRES_17482	0	0	0	0
FGRRES_11042	2	10	2	4
FGRRES_11043	40	37	14	11
FGRRES_11044	553	486	804	725
FGRRES_11045	434	351	299	204
FGRRES_11046	17	22	13	25
FGRRES_11047	7	5	0	3
FGRRES_11048	1	0	0	1
FGRRES_11049	0	0	0	1
FGRRES_11050	1	0	12	10
FGRRES_11051_M	15	6	3	1
FGRRES_11052	1	5	8	6
FGRRES_11053	81	73	103	86
FGRRES_11054	1091	1222	635	563
FGRRES_11055	69	47	51	38
FGRRES_11056	24	26	14	7
FGRRES_11057	14	19	15	20
FGRRES_11058	155	138	29	24
FGRRES_20310	0	0	0	0
FGRRES_11059	47	39	22	39
FGRRES_11060	3	6	5	2
FGRRES_11061	4	6	4	1
FGRRES_11062	11	8	7	10
FGRRES_11063	241	184	103	87
FGRRES_11064	8395	8138	4349	3539
FGRRES_11065_M	282	225	186	129
FGRRES_11066	174	162	82	80
FGRRES_11067	39	25	10	10
FGRRES_17481	250	215	135	116
FGRRES_13861	515	521	306	241
FGRRES_11069	32	24	17	19
FGRRES_11070	10	13	3	2
FGRRES_11071	12	14	5	7
FGRRES_11072	9	6	9	9
FGRRES_11073	17	3	8	1
FGRRES_11074	67	65	66	56
FGRRES_13860	15	10	4	13
FGRRES_13859_M	17	18	10	11
FGRRES_11076	13	15	2	7
FGRRES_11077	0	3	0	0
FGRRES_11078	0	0	0	0
FGRRES_11079_M	89	81	66	80
FGRRES_11080	4	7	7	2
FGRRES_11081	16	14	7	7
FGRRES_11082	0	0	0	0
FGRRES_11083	74	61	60	58
FGRRES_11084	27	30	45	32
FGRRES_11085	1615	1629	366	307
FGRRES_20311	1	1	0	1
FGRRES_11086	35	35	28	15
FGRRES_11087	12	9	3	6
FGRRES_11088	29	21	192	152
FGRRES_11089	3	0	2	1
FGRRES_17480	43	44	19	14
FGRRES_11091	6	9	0	1
FGRRES_11092	15	14	3	1
FGRRES_11093	77	64	52	43
FGRRES_11094	1	2	0	2
FGRRES_11095	4	2	0	2
FGRRES_17479	4	7	3	0
FGRRES_11097	8	6	13	9
FGRRES_11098	8	8	2	3
FGRRES_11099	9	4	15	17
FGRRES_17478	269	231	180	193
FGRRES_11101_M	8	3	1	2
FGRRES_17477	30	20	6	4
FGRRES_11103	42	30	56	42
FGRRES_11104	1891	1736	2465	2152
FGRRES_11105	219	195	120	89
FGRRES_11106	3	1	3	2
FGRRES_13858	143	124	89	104
FGRRES_17476	32	31	41	22
FGRRES_17475	179	168	68	66
FGRRES_17474_M	5	7	11	9
FGRRES_11110	25	14	18	9
FGRRES_11111	307	252	443	353
FGRRES_11112	5	2	19	19
FGRRES_11113	116	115	96	88
FGRRES_11114	22	19	27	22
FGRRES_17473_M	141	102	69	68
FGRRES_20312	3	0	0	0
FGRRES_11116	18	22	28	25
FGRRES_13855	34	37	20	15
FGRRES_17737	2	1	2	2
FGRRES_17472	2	1	0	0
FGRRES_17471	0	2	1	2
FGRRES_17470	427	379	268	220
FGRRES_11121	60	62	24	13
FGRRES_11122	10	11	10	13
FGRRES_11123	27	27	10	11
FGRRES_11124	82	81	76	80
FGRRES_11125	9	13	9	11
FGRRES_11126	1	3	1	1
FGRRES_11127	2286	2017	1371	1257
FGRRES_11128	844	869	158	148
FGRRES_11129	386	347	2113	2090
FGRRES_11130	362	315	265	156
FGRRES_11131	1	0	0	0
FGRRES_11132	110	89	102	81
FGRRES_17469	1	4	1	4
FGRRES_17468	3	3	0	4
FGRRES_15633	0	0	0	3
FGRRES_11135	2297	1772	5761	4203
FGRRES_11136	0	0	0	0
FGRRES_11137	0	2	0	0
FGRRES_17467	3	2	2	2
FGRRES_11139	28	13	9	6
FGRRES_17466	317	245	248	169
FGRRES_11141	69	64	40	39
FGRRES_11142	120	93	315	329
FGRRES_11143	0	1	0	2
FGRRES_13849	0	0	0	0
FGRRES_15634	0	0	0	0
FGRRES_13848_M	4	5	5	0
FGRRES_11145	4	3	4	4
FGRRES_20313	1	0	0	1
FGRRES_11146	16	7	5	3
FGRRES_11147	489	518	379	332
FGRRES_11148	16	11	13	7
FGRRES_11149	21	26	27	37
FGRRES_11150	331	360	16	15
FGRRES_11152_3_M	86	90	155	131
FGRRES_13846	290	243	217	180
FGRRES_11153	635	463	602	434
FGRRES_11154	54	55	41	28
FGRRES_11155	28	19	14	19
FGRRES_11156	14	7	2	4
FGRRES_11157	24	27	5	6
FGRRES_11158	65	74	71	69
FGRRES_13845	1	3	4	1
FGRRES_11159	3	3	3	2
FGRRES_11160	1	0	2	0
FGRRES_15636	0	0	1	0
FGRRES_11161	4	2	5	4
FGRRES_11162	53	33	13	12
FGRRES_11163	2	0	0	0
FGRRES_20314	38	27	27	23
FGRRES_11164	22	17	11	4
FGRRES_15637	0	1	1	1
FGRRES_17464	37	28	4	4
FGRRES_11166	0	1	0	0
FGRRES_11167	14	9	6	1
FGRRES_13844	0	0	2	0
FGRRES_13843	1	0	3	0
FGRRES_17463	121	118	50	20
FGRRES_11169	13	19	6	5
FGRRES_17462	111	126	245	262
FGRRES_11171	10	10	26	20
FGRRES_11172_M	0	1	4	2
FGRRES_11173	13	19	14	9
FGRRES_11174_M	10991	9866	12179	10795
FGRRES_11175	2688	2652	2931	2481
FGRRES_11176	818	712	165	133
FGRRES_11177	299	284	170	165
FGRRES_11178_M	13	10	6	2
FGRRES_11179	7	7	2	1
FGRRES_11180	4	1	1	2
FGRRES_11181	15	12	5	6
FGRRES_11182	14	13	15	17
FGRRES_13842	361	243	212	189
FGRRES_13841	313	226	133	76
FGRRES_15638	62	56	36	26
FGRRES_17461	9	8	14	18
FGRRES_11184	4	1	16	19
FGRRES_11185	15	19	12	12
FGRRES_11186	1	0	0	0
FGRRES_11187	3	2	2	1
FGRRES_17460	39	39	34	14
FGRRES_11189	15	8	4	7
FGRRES_11190	3	4	4	1
FGRRES_11191	825	756	1329	1195
FGRRES_11192	203	166	140	139
FGRRES_11193	57	58	56	48
FGRRES_17459	4	3	2	6
FGRRES_17458	8	2	5	1
FGRRES_13839	13	18	10	19
FGRRES_11195	84	76	79	69
FGRRES_11196	17	11	3	4
FGRRES_13838	9	15	21	15
FGRRES_13837	3	7	7	7
FGRRES_17457	46	29	52	57
FGRRES_17456	135	163	29	20
FGRRES_11200	1785	1553	398	375
FGRRES_17455	256	253	159	166
FGRRES_11202	588	462	1140	1024
FGRRES_11203	613	590	266	232
FGRRES_11204	1471	1351	1562	1395
FGRRES_11205	173	222	335	310
FGRRES_11206	27	28	19	10
FGRRES_15639	0	0	0	0
FGRRES_17454	1	2	2	0
FGRRES_11208	2	2	0	0
FGRRES_13835	1984	1572	2214	2149
FGRRES_15640	17	13	37	35
FGRRES_13834	29	40	30	24
FGRRES_13833	3	1	1	1
FGRRES_11210	120	88	259	177
FGRRES_11211	58	48	48	34
FGRRES_17453_M	1	0	1	0
FGRRES_11212	0	2	1	0
FGRRES_11213	7	3	0	2
FGRRES_17452	93	62	1	1
FGRRES_11215	8	15	25	16
FGRRES_17451	46	39	16	12
FGRRES_11217	37	29	22	13
FGRRES_11218	9	7	1	0
FGRRES_11219	13	19	25	27
FGRRES_15641	2	2	0	3
FGRRES_13832	19	7	3	1
FGRRES_13831	3	0	0	2
FGRRES_13830	194	175	103	110
FGRRES_13829	4	2	6	3
FGRRES_17450	3	8	1	1
FGRRES_11222	14	6	8	19
FGRRES_13827	12	12	37	28
FGRRES_13826	11	1	16	13
FGRRES_17449	7319	6437	24521	21171
FGRRES_11225	8	2	9	5
FGRRES_17448	17	16	9	4
FGRRES_11227	4	4	4	6
FGRRES_11228	47	50	79	70
FGRRES_15635	0	0	0	0
FGRRES_11229	20	16	23	25
FGRRES_11230	1650	1437	16124	13278
FGRRES_11231	77	63	30	20
FGRRES_11232	0	1	0	3
FGRRES_11233	38	34	418	369
FGRRES_11234_M	207	159	61	58
FGRRES_17447	360	296	73	62
FGRRES_11236	8	16	1	4
FGRRES_17446	3	3	3	2
FGRRES_13824	11	13	9	3
FGRRES_11238	10	9	6	0
FGRRES_17445	33	37	22	8
FGRRES_14009	0	0	0	0
FGRRES_11611	2	5	11	10
FGRRES_11612	4	5	6	4
FGRRES_11620	0	0	2	2
FGRRES_14008	0	0	0	0
FGRRES_17589	0	0	2	2
FGRRES_17597_11239_M	3	0	1	3
FGRRES_11240	35	31	59	60
FGRRES_11241	48	40	51	48
FGRRES_17587	103	102	53	36
FGRRES_17586	1	1	4	0
FGRRES_20315	2	0	0	1
FGRRES_11244	167	177	32	24
FGRRES_17585	42	50	33	29
FGRRES_20316	0	2	4	0
FGRRES_14004	0	1	4	3
FGRRES_11246	0	0	0	0
FGRRES_17584	84	72	33	20
FGRRES_11248	153	116	34	31
FGRRES_14003_M	50	50	38	30
FGRRES_11249	159	166	88	100
FGRRES_11250	318	284	28	24
FGRRES_11251	3473	3137	1828	1651
FGRRES_11252	29	17	11	9
FGRRES_11253_M	8	10	10	5
FGRRES_11254	91	66	60	76
FGRRES_14002	23	12	8	11
FGRRES_14001	31	22	19	5
FGRRES_17583_M	1	1	1	2
FGRRES_11257	46	31	48	46
FGRRES_11258	0	0	2	0
FGRRES_14000	0	0	0	0
FGRRES_13999	3	3	2	3
FGRRES_11260	5	4	4	2
FGRRES_11261	18	13	16	19
FGRRES_11262	19	12	9	6
FGRRES_11263	4	5	4	6
FGRRES_11264	370	312	96	66
FGRRES_17582	69	49	41	45
FGRRES_13997	13	17	15	7
FGRRES_13996	54	50	53	38
FGRRES_11266	24	11	39	23
FGRRES_17581	46	39	71	59
FGRRES_17580_A_M	1109	950	724	645
FGRRES_17580_B_M	999	762	687	574
FGRRES_11269	6	6	1	0
FGRRES_11270	8	5	1	1
FGRRES_17579	87	122	46	32
FGRRES_11272	1159	1064	698	823
FGRRES_11273	11	8	8	5
FGRRES_11274	42	22	7	17
FGRRES_13995_M	0	0	0	0
FGRRES_11275	6	2	3	0
FGRRES_11276	5	5	6	1
FGRRES_11277	48	31	15	14
FGRRES_20317	37	45	12	9
FGRRES_11278	82	55	15	13
FGRRES_17578	19	16	6	9
FGRRES_11280	9	5	1	5
FGRRES_11281	3	2	2	4
FGRRES_11282	34	35	18	20
FGRRES_17577	2284	2177	2126	1937
FGRRES_13994_M	2	0	0	0
FGRRES_11284	1	2	3	2
FGRRES_11285	5	5	6	10
FGRRES_17576	37	24	11	9
FGRRES_11287	254	258	194	170
FGRRES_13993	63	66	114	106
FGRRES_17575	36	48	1714	1685
FGRRES_11289	7	4	0	3
FGRRES_15642	77	46	107	89
FGRRES_11290	6	14	8	0
FGRRES_11291	16	5	23	32
FGRRES_11292	10	16	14	10
FGRRES_11293	61	52	52	56
FGRRES_15643	3	0	3	0
FGRRES_17574	19	31	23	26
FGRRES_11295	5	6	5	7
FGRRES_11296	2	3	4	2
FGRRES_11297	8	8	7	4
FGRRES_11298	2	1	4	3
FGRRES_11299	2	0	0	0
FGRRES_11300	5	2	3	3
FGRRES_11301	18	14	38	30
FGRRES_11302	5	7	2	2
FGRRES_11303	1	0	0	0
FGRRES_11304	2	3	2	6
FGRRES_11305	22	27	16	17
FGRRES_17573	3	2	6	2
FGRRES_11307	23	25	32	26
FGRRES_11308	129	118	169	130
FGRRES_11309	74	53	62	51
FGRRES_11310	304	263	146	98
FGRRES_15644	1575	1444	1557	1398
FGRRES_11311	32	40	6	16
FGRRES_11312_M	3775	3164	2505	1785
FGRRES_20318	1	0	1	0
FGRRES_11313	8	14	8	16
FGRRES_11314	3	4	7	9
FGRRES_11315	12	10	14	16
FGRRES_11316	24	14	3	7
FGRRES_11317	0	0	1	1
FGRRES_11318	0	0	0	0
FGRRES_11319	0	0	0	0
FGRRES_11320	0	1	1	0
FGRRES_11321	63	61	37	26
FGRRES_11322	40	46	41	24
FGRRES_11323	6	1	3	3
FGRRES_11324	78	59	69	50
FGRRES_11325	390	363	125	87
FGRRES_11326	110	99	22	23
FGRRES_11327	11	15	20	10
FGRRES_15645	0	0	0	0
FGRRES_11328	15	12	12	14
FGRRES_11329_M	208	139	372	299
FGRRES_11330	3326	2938	3565	3063
FGRRES_17571	45	27	49	40
FGRRES_15646	120	122	43	32
FGRRES_11332	63	81	21	16
FGRRES_11333_M	0	0	0	0
FGRRES_13991	0	0	0	0
FGRRES_17570	193	157	80	69
FGRRES_13988	31	22	18	10
FGRRES_11335	3	4	7	6
FGRRES_13987_M	8	6	14	5
FGRRES_17569	73	80	49	35
FGRRES_11337	6	8	6	1
FGRRES_17568	21	15	9	2
FGRRES_11339	2	4	0	0
FGRRES_11340	4	7	2	1
FGRRES_11341	11	22	9	12
FGRRES_11342	7	7	1	1
FGRRES_15647	0	0	0	0
FGRRES_11343	408	385	289	289
FGRRES_11344	16	4	4	5
FGRRES_11345	0	2	0	0
FGRRES_13984	5	4	3	1
FGRRES_13983	1010	855	303	247
FGRRES_11347	95	100	38	42
FGRRES_11348	10	4	6	4
FGRRES_11349	18	5	3	2
FGRRES_20319	30	32	26	19
FGRRES_11350	6	3	13	4
FGRRES_17567	1	0	2	1
FGRRES_11352	0	5	3	2
FGRRES_11353	0	0	0	0
FGRRES_11354	3	2	3	2
FGRRES_11355	2	0	0	0
FGRRES_11356	30	27	3	5
FGRRES_11357	0	1	2	0
FGRRES_11358	18	11	8	5
FGRRES_17566	0	1	2	0
FGRRES_13981	0	0	0	0
FGRRES_11360	1	0	0	1
FGRRES_11361	1	0	0	0
FGRRES_11362	5	6	2	0
FGRRES_11363	14	14	5	6
FGRRES_11364	9	8	0	0
FGRRES_17565	1	3	8	3
FGRRES_13979	63	39	4	7
FGRRES_15648	227	168	200	148
FGRRES_20320	0	0	1	0
FGRRES_11366	15	11	9	8
FGRRES_15649	0	0	0	0
FGRRES_11367	18	7	18	8
FGRRES_11368	14995	12420	3549	2388
FGRRES_17564	0	2	0	0
FGRRES_13978_M	18	35	9	5
FGRRES_13977	9	9	4	2
FGRRES_11371	29	19	2	5
FGRRES_11372	36	32	7	10
FGRRES_11373	2	1	5	0
FGRRES_15650	50	38	111	109
FGRRES_11374	76	48	31	23
FGRRES_11375	68	76	43	27
FGRRES_11376	2	2	0	2
FGRRES_11377	27	18	4	15
FGRRES_11378	0	1	0	2
FGRRES_11379	23	6	4410	5058
FGRRES_11380_M	174	153	309	312
FGRRES_11381	81	74	88	132
FGRRES_13976	16	11	4	3
FGRRES_13975_M	2	5	2	7
FGRRES_11383	29	25	15	12
FGRRES_17562	12	5	6	2
FGRRES_11385	31	21	6	1
FGRRES_15651	0	0	0	0
FGRRES_11386	326	331	42	46
FGRRES_11387	21	18	16	17
FGRRES_17561	6	16	5	4
FGRRES_11389	16	15	12	13
FGRRES_13972	9	3	1	2
FGRRES_13971	3	3	0	4
FGRRES_11391	17	23	12	11
FGRRES_11392	0	1	1	0
FGRRES_11393	1	2	2	0
FGRRES_11394	6	3	3	6
FGRRES_11395	2	5	7	3
FGRRES_11396	7	6	1	4
FGRRES_11397	18	17	12	13
FGRRES_11398	627	577	302	227
FGRRES_11399	51	50	19	20
FGRRES_11400	203	184	114	84
FGRRES_11401	36	46	13	12
FGRRES_17560	98	117	18	8
FGRRES_11403	14	18	16	9
FGRRES_17559	0	1	2	3
FGRRES_17557_M	12	8	7	10
FGRRES_11405	7	4	4	4
FGRRES_11406	0	0	2	9
FGRRES_11407	155	121	376	392
FGRRES_11408	68	46	38	28
FGRRES_11409	65	66	82	75
FGRRES_13965	0	0	0	0
FGRRES_13964	329	324	713	637
FGRRES_11410	22	12	67	56
FGRRES_11411	9	11	3	2
FGRRES_11412	7	6	6	7
FGRRES_11413	367	325	110	133
FGRRES_13963	164	124	83	76
FGRRES_13962	128	96	29	30
FGRRES_11415	235	238	97	81
FGRRES_17556	2	0	0	0
FGRRES_17555	23	18	7	5
FGRRES_11417	14	16	13	5
FGRRES_11418	0	0	0	0
FGRRES_17554_M	737	659	100	93
FGRRES_11420	17	5	8	4
FGRRES_11421	17	26	19	12
FGRRES_17553	151	115	331	298
FGRRES_17552	137	124	130	107
FGRRES_11424	208	155	277	252
FGRRES_17551	409	410	219	200
FGRRES_15652	14	18	20	5
FGRRES_11426	1	1	3	1
FGRRES_13960	0	1	0	2
FGRRES_17550	171	132	293	266
FGRRES_11428	4	2	4	8
FGRRES_17549	226	221	142	155
FGRRES_13959	0	2	0	0
FGRRES_13958	15	11	13	11
FGRRES_20321	0	0	0	0
FGRRES_11431_M	2	1	1	0
FGRRES_11432	0	1	0	1
FGRRES_11433	43	32	16	8
FGRRES_17548_M	1	2	0	0
FGRRES_11435	17	25	9	7
FGRRES_11436	20	25	5	4
FGRRES_17547	16	15	0	0
FGRRES_17546	32	18	9	20
FGRRES_11439	7	4	5	3
FGRRES_11440	23	32	13	9
FGRRES_13957	9	4	4	5
FGRRES_13956	15	4	3	3
FGRRES_11442	44	36	13	5
FGRRES_11443	29	32	4	1
FGRRES_13955	17	29	6	8
FGRRES_13954	12	4	6	8
FGRRES_11445	623	593	279	301
FGRRES_11446	61	71	97	81
FGRRES_13953	62	53	20	21
FGRRES_13952	124	126	56	51
FGRRES_11448	16	11	5	5
FGRRES_15653	31	25	3	6
FGRRES_11449	70	54	16	11
FGRRES_13951	5	2	0	0
FGRRES_20322	2	0	0	0
FGRRES_17545	14	2	5	10
FGRRES_11451	0	0	0	1
FGRRES_13950	7	4	1	0
FGRRES_13949	0	0	0	0
FGRRES_11453	1	1	0	0
FGRRES_11454	6	4	0	3
FGRRES_11455	37	28	40	25
FGRRES_17544	84	95	58	58
FGRRES_11457	23	38	39	22
FGRRES_17543	2	1	8	4
FGRRES_17542	4	1	0	0
FGRRES_11460	0	1	0	2
FGRRES_11461	3	6	2	5
FGRRES_11462_M	19	37	10	2
FGRRES_11463	102	90	28	18
FGRRES_11464	26	17	16	11
FGRRES_17541	11	9	5	6
FGRRES_20323	796	687	197	157
FGRRES_13948	159	161	152	162
FGRRES_13947	215	178	38	48
FGRRES_13946	36	54	19	15
FGRRES_11467	131	148	278	229
FGRRES_11468	1	5	4	0
FGRRES_11469	209	190	80	84
FGRRES_11470	6	6	7	5
FGRRES_11471	9	6	2	10
FGRRES_11472	5	7	9	10
FGRRES_11473	2	0	0	1
FGRRES_13945_M	6	6	0	1
FGRRES_11474	147	109	47	47
FGRRES_11475	5	2	4	1
FGRRES_13944	0	0	0	0
FGRRES_13943	4	1	1	1
FGRRES_11477	21	12	1	1
FGRRES_11478	19	20	25	18
FGRRES_17540	10	7	2	4
FGRRES_11480	306	347	194	193
FGRRES_15654	9	14	1	1
FGRRES_17539	21	22	4	4
FGRRES_17538	19	8	8	3
FGRRES_17537	7	13	6	3
FGRRES_11483	60	73	49	37
FGRRES_11484	82	92	35	41
FGRRES_11485	46	27	18	13
FGRRES_11486	18	8	8	4
FGRRES_11487	0	0	0	1
FGRRES_20324	0	0	0	0
FGRRES_13940	0	0	0	0
FGRRES_11488	3	0	1	0
FGRRES_15655	0	0	0	0
FGRRES_20325	2	5	6	4
FGRRES_17536	13	9	6	8
FGRRES_20326	4	2	0	0
FGRRES_17535	28	25	2	1
FGRRES_17534	0	1	0	0
FGRRES_11492	60	64	127	122
FGRRES_11493	12	22	1	0
FGRRES_11494	9	4	5	2
FGRRES_11495	1	1	2	4
FGRRES_11496	8	13	17	14
FGRRES_17533	25	39	47	36
FGRRES_11498	2	0	1	0
FGRRES_15656	0	0	2	1
FGRRES_11499	0	0	0	0
FGRRES_11500	34	20	6	12
